Title,Rating,Expert Rating,Location,Price Per Night,Distance From City,Facilities,Country
Arabian Park Hotel Dubai,3 Star Hotel,7.8,Dubai,"5,000",5 km from City Center,"['Fitness Center', 'Outdoor Pool']",Dubai
Kings Park Hotel Dubai,3 Star Hotel,7.8,Dubai,"5,000",6 km from City Center,"['Air-Conditioned', 'Laundry Service']",Dubai
Astoria Hotel Dubai,3 Star Hotel,7.8,Dubai,"15,000",4 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Dubai
Landmark Plaza Hotel Dubai,3 Star Hotel,7.8,Dubai,"15,000",5 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Al Shamal Hotel Dubai,1 Star Hotel,7.8,Dubai,"10,000",5 km from City Center,"['Laundry Service', 'Restaurant']",Dubai
Apartment Nasma Luxury Stays Dubai,4 Star Hotel,7.8,Dubai,"20,000",21 km from City Center,"['Free Parking', 'Air-Conditioned', 'Laundry Service', 'Outdoor Pool']",Dubai
Zagy Hotel Dubai,1 Star Hotel,7.5,Dubai,"5,000",6 km from City Center,['Room Service'],Dubai
Dream Inn Dubai Apartments Marina Quays,4 Star Hotel,7.5,Dubai,"20,000",19 km from City Center,"['Free Parking', 'Laundry Service', 'Air-Conditioned']",Dubai
New Penninsula Hotel Dubai,2 Star Hotel,7.5,Dubai,"5,000",4 km from City Center,"['Laundry Service', 'Restaurant']",Dubai
Sun And Sands Plaza Hotel Dubai,3 Star Hotel,7.5,Dubai,"10,000",5 km from City Center,"['Laundry Service', 'Restaurant', 'Room Service']",Dubai
